,時間,ID,カテゴリー,件,掲載名,フリガナ,電話番号,FAX番号,住所,アクセス,駐車場,現金以外の支払い方法,ホームページ,E-mailアドレス,業種,営業時間,休業日,予約
0,2018-10-22 13:56:02.291033,510000000000075860,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,株式会社メノガイア,メノガイア,0120-513412※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,－,（〒101-0031）東京都千代田区東神田２丁目８－１地図,鉄道浅草橋駅・西出口南へ徒歩２分ルート案内,有,－,リフォームはこちらhttps://www.menogaia.co.jp/service/reform/ハウスクリーニングはこちらhttps://www.menogaia.co.jp/service/cleaning/,お問い合わせはこちらへmg-info@menogaia.co.jp,衛生設備工事、衛生設備・陶器、エクステリア工事、介護リフォーム、外壁工事、火災報知機工事、かわら屋根工事、管工事、建設業、建築工事、左官業、室内装飾工事、消防用設備・用品・保守点検、水道衛生工事・保守、水道衛生設備工事、水道衛生設備保守、設計、造園業、装飾業、大工職、耐震工事、建売業、塗装、塗装工事、内装工事、配管工事、排水管つまり清掃、ハウスクリーニング、フローリング工事、風呂釜・浴槽、防音工事、防水工事、防犯用設備・用品、ホームセキュリティサービス、屋根工事、床工事、リノベーション、リフォーム,09:00～21:00年中無休,－,－
1,2018-10-22 13:56:02.804971,510000000000075860,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,株式会社メノガイア,メノガイア,0120-513412※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,－,（〒101-0031）東京都千代田区東神田２丁目８－１地図,鉄道浅草橋駅・西出口南へ徒歩２分ルート案内,有,－,リフォームはこちらhttps://www.menogaia.co.jp/service/reform/ハウスクリーニングはこちらhttps://www.menogaia.co.jp/service/cleaning/,お問い合わせはこちらへmg-info@menogaia.co.jp,衛生設備工事、衛生設備・陶器、エクステリア工事、介護リフォーム、外壁工事、火災報知機工事、かわら屋根工事、管工事、建設業、建築工事、左官業、室内装飾工事、消防用設備・用品・保守点検、水道衛生工事・保守、水道衛生設備工事、水道衛生設備保守、設計、造園業、装飾業、大工職、耐震工事、建売業、塗装、塗装工事、内装工事、配管工事、排水管つまり清掃、ハウスクリーニング、フローリング工事、風呂釜・浴槽、防音工事、防水工事、防犯用設備・用品、ホームセキュリティサービス、屋根工事、床工事、リノベーション、リフォーム,09:00～21:00年中無休,－,－
2,2018-10-22 13:56:03.228546,137324854132740620,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,株式会社東京不動産経済研究所,カブシキガイシャトウキョウフドウサンケイザイケンキュウショ,03-3931-273103-3931-2732※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,03-6809-7508,（〒179-0081）東京都練馬区北町１丁目３－７－１０１地図,鉄道東武東上線・上板橋駅南口より徒歩約8分車国道254号線（川越街道）「練馬北町陸橋」近くルート案内,近くにコインパーキング有り,お取り扱いしておりません,詳しくはホームページをご覧ください。http://www.treei.jp/動画Ｐｌｕｓ！をご覧ください。http://douga-plus.itp.ne.jp/embed/bhfdcT4HgksKX,メールでのお問い合わせはこちらからどうぞ。webmaster@treei.jp,アパート業、アパート（学生向）、貸事務所、貸店舗、貸ビル、貸別荘、貸間、貸家、下宿、コインパーキング、コーポラティブハウス、コンドミニアム、シェアハウス、事務所売買、住宅コンサルタント、住宅販売、建売業、建物売買、中古住宅売買、駐車場、注文住宅販売、月極駐車場、土地管理、土地賃貸、土地売買、土地分譲、バイク駐車場、ビル管理、ビルメンテナンス、ファイナンシャルプランナー、不動産鑑定、不動産管理、不動産競売代行業、不動産コンサルタント、不動産投資顧問業、不動産取引、プライベートバンキング、分譲住宅、別荘分譲、別荘分譲・管理、マンション（学生向）、マンション賃貸業、マンション分譲、リゾート会員権取引、リゾートマンション分譲、留学生寮,平日・土曜日09:00～17:00,日曜・祝日（ご予約いただければ日曜日・祝日も対応可能です。）,－
3,2018-10-22 13:56:03.783585,130011819099840980,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,株式会社ニュータウンハウジング,カブシキガイシャニユータウンハウジング,042-339-3711※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,－,（〒206-0033）東京都多摩市落合１丁目２４－１－１０４地図,鉄道京王線・多摩センター駅１０分ルート案内,有,お取り扱いしておりません,物件はこちら（当社ＨＰ）http://www.newtown-housing.co.jp/物件はこちら（アットホーム）http://www.athome.co.jp/ahto/newtown-housing-tama.htmlブログもご覧下さいhttp://blog.goo.ne.jp/newtown-housing/c/bd8fde2ca31a2b070de6944aea4a19e8,－,アパート管理、アパート業、アパート（学生向）、エクステリア工事、貸事務所、貸店舗、貸ビル、建物売買、中古住宅売買、土地売買、土地分譲、不動産取引、マンション管理、マンション（学生向）、マンション賃貸業、マンション分譲、リフォーム,,水曜日,－
4,2018-10-22 13:56:04.237308,130534507158550720,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,東建コーポレーション株式会社立川支店,トウケンコーポレーションカブシキガイシャタチカワシテン,042-538-2400※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,042-538-2410,（〒190-0004）東京都立川市柏町３丁目１８－５地図,その他ルミナス砂川七番１Ｆ・２Ｆルート案内,－,有,東建コーポレーション（土地活用のご相談）http://www.token.co.jpＰＣ・ケータイ版ホームメイト（お部屋探し）http://www.homemate.co.jpスマートフォン版ホームメイト（お部屋探し）http://s.homemate.co.jp/,786@token.co.jp,アパート管理、アパート業、アパート（学生向）、ウィークリー・マンスリー賃貸マンション、貸事務所、貸倉庫、貸店舗、建設業、不動産管理、不動産取引、マンション管理、マンション（学生向）、マンション賃貸業、リフォーム,10:00～18:30,水曜日（祝日は営業）,－
5,2018-10-22 13:56:04.738506,135015223100000899,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,日本住宅情報株式会社,ニホンジュウタクジョウホウカブシキガイシャ,03-3476-11910120-200902※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,03-3476-2261,（〒150-0041）東京都渋谷区神南１丁目１２－１８地図,鉄道ＪＲ線・渋谷駅・北出口徒歩3分井の頭線・東京メトロ・東横線・他線・渋谷駅・北出口徒歩3分その他渋谷駅北口より徒歩3分タワーレコード交差点ルート案内,コインパーキング有,VISAカード、MASTERカード、JCBカード、DINERSカード、AMEXカード、UCカード、DCカード、SAISONカード、NICOSカード、UFJカード、アプラスカードその他,http://www.realty-net.co.jp/,njj-1191@beach.ocn.ne.jp,アパート業、ウィークリー・マンスリー賃貸マンション、貸店舗、貸ビル、貸家、建設コンサルタント、住宅情報提供サービス、住宅販売、ビル管理、不動産投資顧問業、不動産取引、分譲住宅、マンション管理、マンション賃貸業、マンション分譲、リフォーム,09:00～21:00年中無休,－,－
6,2018-10-22 13:56:05.259667,135015223100000899,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,日本住宅情報株式会社,ニホンジュウタクジョウホウカブシキガイシャ,03-3476-11910120-200902※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,03-3476-2261,（〒150-0041）東京都渋谷区神南１丁目１２－１８地図,鉄道ＪＲ線・渋谷駅・北出口徒歩3分井の頭線・東京メトロ・東横線・他線・渋谷駅・北出口徒歩3分その他渋谷駅北口より徒歩3分タワーレコード交差点ルート案内,コインパーキング有,VISAカード、MASTERカード、JCBカード、DINERSカード、AMEXカード、UCカード、DCカード、SAISONカード、NICOSカード、UFJカード、アプラスカードその他,http://www.realty-net.co.jp/,njj-1191@beach.ocn.ne.jp,アパート業、ウィークリー・マンスリー賃貸マンション、貸店舗、貸ビル、貸家、建設コンサルタント、住宅情報提供サービス、住宅販売、ビル管理、不動産投資顧問業、不動産取引、分譲住宅、マンション管理、マンション賃貸業、マンション分譲、リフォーム,09:00～21:00年中無休,－,－
7,2018-10-22 13:56:05.702277,131156914100000899,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,株式会社日本リアリスト,カブシキガイシャニホンリアリスト,03-3667-1391※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,03-3667-1640,（〒103-0025）東京都中央区日本橋茅場町１丁目１０－５地図,鉄道地下鉄東西線・茅場町駅・5番出口徒歩1分地下鉄日比谷線・茅場町駅・5番出口徒歩1分その他エスエフ茅場町ビル3Ｆルート案内,無,お取り扱いしておりません,http://www.j-realest.co.jp,info@j-realest.co.jp,貸ビル、倉庫、不動産取引,,土曜日、日曜日、祝日,－
8,2018-10-22 13:56:06.212929,138662024100540240,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,株式会社プロパティユース,カブシキガイシャプロパティユース,03-5363-68500120-343104※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,－,（〒160-0022）東京都新宿区新宿１丁目１４－１２地図,鉄道東京メトロ丸ノ内線・新宿御苑前駅3番出口より徒歩1分都営新宿線・新宿三丁目駅C8出口より徒歩7分JR各線・新宿駅東口または南口より徒歩15分ルート案内,－,－,株式会社プロパティユースのホームページはこちらhttp://p-use.jp/,－,不動産取引,10:00～17:00,土曜日、日曜日、祝日,－
9,2018-10-22 13:56:06.639386,136671001125580380,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,株式会社インターナショナル・インターフェイス,カブシキガイシャインターナショナルインターフェイス,03-6804-3455※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,－,（〒107-0062）東京都港区南青山２丁目２６－３２－４０２地図,鉄道東京メトロ銀座線・外苑前駅・1A出口徒歩1分ルート案内,,,▽株式会社インターナショナル・インターフェイスHPhttp://www.i-interface.com/,－,アパート業、アパート（学生向）、ウィークリー・マンスリー賃貸アパート、ウィークリー・マンスリー賃貸マンション、貸事務所、貸店舗、貸ビル、貸別荘、貸間、貸家、シェアハウス、事務所売買、住宅コンサルタント、住宅販売、建物売買、中古住宅売買、駐車場、月極駐車場、土地管理、土地賃貸、土地売買、ビル管理、不動産管理、不動産コンサルタント、不動産取引、分譲住宅、別荘分譲、別荘分譲・管理、マンション（学生向）、マンション賃貸業、マンション分譲,,,
